ID,SI,VV,AR,SG
1,Sensing,Verbal,Active,Sequential
2,Intuitive,Visual,Active,Global
3,Sensing,Verbal,Reflective,Sequential
4,Sensing,Visual,Active,Global
5,Intuitive,Visual,Active,Global
6,Sensing,Verbal,Reflective,Sequential
7,Intuitive,Visual,Reflective,Sequential
8,Sensing,Verbal,Active,Global
9,Sensing,Visual,Active,Sequential
10,Intuitive,Visual,Active,Sequential
11,Intuitive,Visual,Active,Sequential
12,Sensing,Visual,Active,Sequential
13,Intuitive,Visual,Reflective,Sequential
14,Sensing,Verbal,Reflective,Sequential
15,Sensing,Visual,Active,Global
16,Sensing,Visual,Active,Sequential
17,Sensing,Verbal,Active,Sequential
18,Intuitive,Visual,Reflective,Sequential
19,Intuitive,Verbal,Reflective,Sequential
20,Intuitive,Verbal,Reflective,Global
21,Sensing,Visual,Reflective,Global
22,Sensing,Verbal,Reflective,Sequential
23,Sensing,Visual,Reflective,Global
24,Sensing,Verbal,Reflective,Sequential
25,Intuitive,Visual,Active,Global
26,Sensing,Verbal,Active,Global
27,Intuitive,Verbal,Reflective,Sequential
28,Intuitive,Verbal,Reflective,Sequential
29,Sensing,Verbal,Active,Global
30,Intuitive,Visual,Reflective,Global
31,Sensing,Visual,Active,Global
32,Intuitive,Visual,Reflective,Sequential
33,Sensing,Verbal,Reflective,Global
34,Intuitive,Verbal,Active,Sequential
35,Intuitive,Visual,Active,Global
36,Sensing,Verbal,Active,Sequential
37,Sensing,Visual,Active,Sequential
38,Intuitive,Visual,Reflective,Sequential
39,Intuitive,Visual,Reflective,Sequential
40,Sensing,Verbal,Reflective,Sequential
41,Intuitive,Visual,Active,Sequential
42,Intuitive,Verbal,Reflective,Global
43,Intuitive,Visual,Active,Sequential
44,Intuitive,Verbal,Reflective,Global
45,Sensing,Visual,Reflective,Global
46,Sensing,Verbal,Reflective,Sequential
47,Sensing,Visual,Reflective,Global
48,Sensing,Verbal,Active,Sequential
49,Sensing,Verbal,Active,Global
50,Intuitive,Visual,Active,Sequential
51,Sensing,Verbal,Active,Sequential
52,Intuitive,Verbal,Active,Sequential
53,Intuitive,Visual,Active,Sequential
54,Intuitive,Visual,Reflective,Global
55,Intuitive,Visual,Reflective,Sequential
56,Sensing,Verbal,Reflective,Sequential
57,Intuitive,Visual,Reflective,Global
58,Intuitive,Verbal,Active,Global
59,Sensing,Visual,Reflective,Sequential
60,Intuitive,Verbal,Reflective,Global
61,Sensing,Verbal,Active,Global
62,Intuitive,Verbal,Active,Global
63,Sensing,Verbal,Reflective,Sequential
64,Intuitive,Visual,Active,Sequential
65,Intuitive,Verbal,Reflective,Sequential
66,Intuitive,Visual,Active,Sequential
67,Intuitive,Visual,Active,Global
68,Sensing,Visual,Active,Global
69,Intuitive,Verbal,Reflective,Global
70,Intuitive,Verbal,Reflective,Global
71,Intuitive,Verbal,Reflective,Global
72,Intuitive,Verbal,Reflective,Sequential
73,Intuitive,Visual,Reflective,Sequential
74,Sensing,Verbal,Active,Sequential
75,Intuitive,Visual,Reflective,Sequential
76,Intuitive,Visual,Reflective,Global
77,Intuitive,Verbal,Reflective,Global
78,Sensing,Visual,Reflective,Sequential
79,Sensing,Verbal,Active,Sequential
80,Sensing,Verbal,Reflective,Sequential
81,Intuitive,Visual,Reflective,Global
82,Intuitive,Verbal,Active,Global
83,Intuitive,Verbal,Active,Global
84,Sensing,Visual,Active,Global
85,Sensing,Visual,Active,Sequential
86,Intuitive,Verbal,Active,Global
87,Intuitive,Verbal,Active,Global
88,Intuitive,Verbal,Active,Global
89,Intuitive,Verbal,Active,Global
90,Intuitive,Verbal,Active,Global
91,Sensing,Verbal,Reflective,Sequential
92,Intuitive,Verbal,Reflective,Global
93,Sensing,Visual,Reflective,Global
94,Sensing,Visual,Reflective,Global
95,Sensing,Verbal,Active,Sequential
96,Intuitive,Visual,Reflective,Sequential
97,Intuitive,Verbal,Active,Sequential
98,Sensing,Verbal,Reflective,Global
99,Intuitive,Verbal,Reflective,Global
100,Sensing,Verbal,Active,Global
101,Sensing,Verbal,Reflective,Global
102,Intuitive,Visual,Reflective,Global
103,Intuitive,Verbal,Active,Global
104,Sensing,Visual,Active,Sequential
105,Sensing,Visual,Active,Global
106,Sensing,Visual,Active,Sequential
107,Intuitive,Verbal,Reflective,Sequential
108,Intuitive,Verbal,Active,Sequential
109,Sensing,Verbal,Reflective,Sequential
110,Intuitive,Verbal,Active,Sequential
111,Intuitive,Visual,Reflective,Global
112,Intuitive,Verbal,Active,Sequential
113,Sensing,Visual,Reflective,Global
114,Sensing,Verbal,Active,Sequential
115,Sensing,Verbal,Active,Global
116,Sensing,Visual,Reflective,Sequential
117,Intuitive,Verbal,Active,Global
118,Sensing,Visual,Active,Sequential
119,Sensing,Visual,Reflective,Global
120,Sensing,Verbal,Active,Global
121,Sensing,Visual,Reflective,Global
122,Sensing,Verbal,Reflective,Global
123,Intuitive,Verbal,Reflective,Global
124,Intuitive,Verbal,Reflective,Global
125,Intuitive,Verbal,Active,Sequential
126,Sensing,Verbal,Active,Sequential
127,Intuitive,Visual,Active,Global
128,Sensing,Verbal,Reflective,Sequential
129,Sensing,Verbal,Reflective,Global
130,Intuitive,Visual,Reflective,Sequential
131,Sensing,Verbal,Reflective,Global
132,Intuitive,Visual,Active,Global
133,Intuitive,Visual,Reflective,Global
134,Intuitive,Verbal,Reflective,Sequential
135,Intuitive,Visual,Reflective,Sequential
136,Sensing,Verbal,Active,Global
137,Sensing,Verbal,Reflective,Sequential
138,Sensing,Verbal,Active,Sequential
139,Intuitive,Verbal,Reflective,Global
140,Sensing,Visual,Reflective,Sequential
141,Sensing,Verbal,Reflective,Sequential
142,Intuitive,Visual,Reflective,Global
143,Sensing,Visual,Active,Global
144,Intuitive,Verbal,Reflective,Sequential
145,Sensing,Visual,Reflective,Sequential
146,Intuitive,Visual,Reflective,Global
147,Intuitive,Verbal,Reflective,Global
148,Sensing,Verbal,Active,Sequential
149,Sensing,Verbal,Active,Global
150,Sensing,Verbal,Active,Global
151,Intuitive,Visual,Active,Sequential
152,Intuitive,Visual,Active,Global
153,Intuitive,Visual,Active,Sequential
154,Sensing,Visual,Active,Sequential
155,Intuitive,Verbal,Reflective,Global
156,Intuitive,Visual,Reflective,Global
157,Sensing,Visual,Reflective,Sequential
158,Sensing,Visual,Active,Sequential
159,Sensing,Verbal,Active,Global
160,Intuitive,Verbal,Reflective,Sequential
161,Intuitive,Visual,Reflective,Sequential
